submissionDate,state,totalCases,newCases,totalDeaths,newDeaths
01/14/2022,KS,621273,19414,7162,21
01/02/2022,AS,11,0,0,0
08/22/2020,AR,56199,547,674,11
07/17/2020,MP,37,1,2,0
08/12/2020,AS,0,0,0,0
06/05/2020,HI,661,8,17,0
07/27/2021,AK,71521,235,377,0
10/26/2021,HI,80876,69,883,0
07/26/2021,OK,475578,1028,7488,8
09/14/2021,AS,0,0,0,0
03/16/2020,MP,0,0,0,0
09/23/2021,NYC,1075197,1755,34153,20
07/20/2020,GA,147804,2766,3176,3
12/30/2021,FL,4193587,74663,63048,45
03/19/2020,GA,493,115,13,7
04/19/2021,TX,2842763,1199,49521,34
04/16/2020,AK,300,7,9,0
08/01/2021,AS,0,0,0,0
06/07/2021,PR,140304,9,2511,4
05/28/2020,TX,59776,1855,1837,31
02/15/2022,FL,5762922,6399,71032,146
02/28/2022,WV,490111,1752,6317,9
09/08/2021,KS,382850,1147,5693,15
12/30/2021,HI,106350,3425,1074,0
03/07/2021,UT,374850,412,1976,1
03/04/2020,MP,0,0,0,0
02/06/2022,KS,744493,0,7716,0
03/18/2020,AR,37,13,0,0
03/18/2021,AS,4,0,0,0
06/01/2021,CO,552770,321,6579,-1
08/07/2021,UT,439151,672,2497,3
09/01/2020,TX,617333,4364,14891,111
04/20/2020,NYC,147860,2287,14758,505
06/21/2021,MA,709443,48,17976,5
11/16/2020,MP,102,0,2,0
01/27/2020,MP,0,0,0,0
04/13/2020,UT,2392,54,18,0
11/14/2021,OK,653624,0,11072,0
04/12/2021,UT,390289,185,2159,0
02/05/2021,AS,3,0,0,0
01/11/2022,PW,31,3,0,0
11/12/2020,HI,16171,94,221,0
10/08/2021,UT,520190,1637,2994,11
08/12/2020,GA,232148,3767,4456,105
11/07/2021,CO,774869,2970,8407,0
06/04/2020,FL,59218,1011,2785,25
05/09/2021,UT,400352,232,2224,1
08/21/2021,WV,178361,828,3010,2
04/23/2020,AS,0,0,0,0
04/23/2021,WV,150693,405,2813,5
03/16/2021,PR,104675,68,2071,2
05/12/2021,MP,170,0,2,0
04/03/2020,PR,217,26,8,2
06/07/2021,CO,555740,273,6625,12
12/19/2020,UT,248970,2408,1148,8
07/09/2020,WV,3826,119,95,0
12/05/2021,AK,146558,0,853,0
03/29/2021,AS,0,0,0,0
03/26/2022,KS,769700,0,8221,0
01/05/2022,MA,1223354,30805,20464,54
03/04/2022,UT,924248,261,4453,11
11/07/2020,OK,150338,3103,2113,25
05/07/2020,AK,374,2,10,0
05/15/2021,UT,402325,320,2258,2
02/21/2020,GA,0,0,0,0
11/06/2020,FL,818478,4367,18138,50
12/05/2020,CO,273651,4818,3357,19
02/02/2022,UT,891977,3609,4150,12
10/06/2021,MP,272,0,2,0
10/10/2020,HI,13371,108,168,2
07/23/2021,HI,38499,215,524,0
05/18/2021,KS,312332,259,5040,0
02/05/2021,TX,2462886,14493,42455,248
11/06/2021,TX,4243143,2469,70705,132
01/06/2022,KS,549721,0,7059,0
06/13/2021,NYC,952683,171,33353,5
08/04/2020,MP,46,1,2,0
12/30/2020,MP,122,0,2,0
12/30/2021,UT,636992,3563,3787,6
10/01/2020,MA,132870,754,9500,14
04/10/2021,NYC,887422,3320,31802,55
09/13/2021,NYC,1056839,1550,34019,5
05/09/2020,GA,30670,307,1404,42
03/25/2021,WV,139251,433,2624,5
06/04/2020,AS,0,0,0,0
03/21/2020,NYC,14243,3711,83,27
03/18/2021,NYC,800031,4194,30553,67
11/17/2020,OK,182038,4207,2410,39
01/23/2022,KS,681405,0,7319,0
04/27/2021,OK,448475,297,7254,2
01/25/2021,HI,25209,116,339,0
12/07/2020,UT,217638,2231,949,10
11/14/2021,UT,571507,0,3347,0
02/07/2020,AS,0,0,0,0
03/28/2022,AR,832574,21,11211,1
12/21/2020,MA,327374,3843,11921,52
11/13/2021,TX,4266084,3849,71586,84
02/19/2021,NYC,696073,4475,28768,85
12/05/2020,MA,252017,5619,11074,46
12/10/2021,GA,1678746,1959,30823,25
12/25/2021,UT,623703,0,3754,0
04/13/2020,FL,20124,922,683,42
08/20/2021,KS,356065,1338,5494,38
06/29/2020,NYC,217605,218,22942,16
09/09/2021,PR,175803,689,2977,17
07/11/2021,PW,2,0,0,0
07/10/2021,UT,419388,412,2395,2
01/03/2021,WV,91058,1731,1376,3
10/09/2020,AS,0,0,0,0
11/15/2020,OK,175799,2217,2346,39
06/17/2021,AS,0,0,0,0
06/09/2020,KS,10650,0,236,0
05/10/2021,CO,534341,863,6357,0
12/17/2020,PW,0,0,0,0
11/21/2021,UT,582929,0,3428,0
08/26/2021,OK,542412,3338,7878,21
03/08/2020,AS,0,0,0,0
03/22/2020,UT,169,44,1,1
11/30/2021,AS,10,5,0,0
12/13/2020,FL,1108655,8264,21039,93
03/31/2022,UT,927922,140,4714,0
07/11/2020,UT,29605,642,215,2
07/14/2021,HI,37174,40,518,0
04/25/2021,TX,2864345,1407,49759,37
02/28/2021,UT,371235,465,1935,6
01/02/2022,TX,4684264,55260,74491,0
08/13/2021,NYC,1001223,1953,33650,9
07/18/2021,AS,0,0,0,0
01/01/2022,NYC,1562082,0,35389,0
10/19/2020,NYC,258705,473,23640,6
10/23/2021,KS,428816,0,6211,0
02/11/2021,NYC,664336,4762,28080,72
04/08/2020,OK,2343,97,94,7
12/24/2021,UT,623703,0,3754,0
02/09/2020,FL,0,0,0,0
04/19/2021,KS,306290,429,4955,2
07/13/2020,PW,0,0,0,0
02/14/2021,WV,127588,306,2210,9
02/02/2021,FL,1706499,6799,29032,144
06/12/2021,UT,409364,357,2323,4
04/05/2020,WV,324,42,3,1
02/16/2020,TX,0,0,0,0
07/26/2020,FL,422123,8679,7825,207
01/24/2022,NYC,2209227,7795,37768,223
12/31/2021,MP,3255,47,13,0
09/13/2020,AS,0,0,0,0
09/10/2020,NYC,239481,418,23445,2
11/23/2020,AS,3,0,0,0
10/17/2020,GA,362517,1987,7607,51
02/17/2021,TX,2571063,3766,44768,184
05/21/2020,PR,1186,13,114,0
11/18/2020,UT,162028,3071,740,8
03/28/2022,MA,1694801,2624,20081,9
04/02/2021,KS,302873,501,4932,19
02/25/2021,MA,575993,2108,16087,48
08/19/2020,UT,48260,475,377,6
01/12/2022,GA,2069066,18939,31801,57
06/27/2021,AK,68272,27,367,0
03/19/2022,KS,769218,0,8146,0
10/11/2021,CO,703373,1627,7767,12
09/15/2021,KS,393696,1833,5801,28
05/05/2021,KS,310115,235,4999,14
11/15/2021,WV,283561,486,4636,26
03/10/2020,PW,0,0,0,0
11/01/2020,WV,24883,423,457,0
02/01/2022,NYC,2241198,2886,38573,101
08/30/2021,AK,83991,371,427,0
11/11/2020,MA,177541,2660,10282,32
02/08/2021,NYC,651584,3954,27840,83
01/23/2021,FL,1613019,9408,27425,166
02/27/2020,MA,1,0,0,0
01/18/2021,KS,259822,3688,3525,23
04/29/2020,KS,3738,247,125,1
05/12/2021,OK,451191,127,7283,3
02/09/2021,AK,53961,106,310,1
03/09/2020,FL,18,5,4,0
01/17/2022,HI,170259,4637,1115,0
12/14/2020,WV,64394,1177,978,10
03/07/2020,AS,0,0,0,0
05/01/2020,FL,34175,702,1513,51
07/12/2021,GA,1141159,589,21499,5
01/24/2022,AS,18,0,0,0
04/28/2021,PW,0,0,0,0
11/18/2021,KS,452909,0,6634,0
05/17/2020,OK,6183,60,315,1
04/21/2021,KS,306883,296,4961,6
03/02/2021,TX,2655592,7747,46638,100
12/27/2020,NYC,421513,1649,24877,41
08/18/2020,AK,4381,66,50,0
10/17/2021,CO,716332,1736,7898,17
10/17/2021,AK,124060,691,626,16
03/12/2020,CO,42,18,0,0
02/14/2020,AS,0,0,0,0
03/05/2022,MA,1675767,0,23577,0
04/28/2020,OK,4198,189,227,1
03/12/2020,WV,0,0,0,0
07/01/2021,NYC,956061,193,33426,4
09/01/2021,PW,4,0,0,0
03/01/2021,AK,56398,67,325,2
07/15/2020,GA,129193,4102,3091,37
03/25/2022,CO,1343777,364,11951,5
01/14/2021,FL,1513691,16519,25723,214
03/17/2022,MA,1685055,1019,20023,11
01/14/2022,MP,3905,103,21,1
08/19/2021,CO,603063,1683,7056,1
12/23/2021,PW,10,0,0,0
04/02/2021,UT,386550,422,2131,6
05/31/2021,NYC,949511,179,33244,10
10/28/2020,OK,128965,1182,1865,20
03/24/2021,UT,382733,562,2082,5
03/06/2021,MP,144,0,2,0
01/19/2021,TX,2135028,9476,37538,335
03/01/2022,PW,3823,42,6,0
10/09/2020,WV,17707,382,376,6
02/08/2021,GA,943695,2704,15130,38
02/07/2022,MP,6332,230,23,0
11/21/2020,GA,446804,6213,9179,37
02/10/2021,UT,357339,1299,1765,17
03/29/2020,MA,4955,698,99,26
05/23/2021,NYC,947020,434,33158,14
11/11/2020,PR,42616,669,899,3
09/29/2021,GA,1573840,4435,25933,176
08/03/2021,PW,2,0,0,0
07/26/2020,CO,45527,584,1794,0
01/06/2022,OK,737593,6438,11650,0
03/27/2021,FL,2002109,4860,33906,47
02/14/2022,NYC,2265769,644,39417,92
02/14/2020,PW,0,0,0,0
07/31/2021,AS,0,0,0,0
01/23/2020,CO,0,0,0,0
01/28/2020,MA,0,0,0,0
01/12/2022,CO,1090741,12482,10552,24
11/01/2020,AK,15757,359,116,0
05/10/2020,AR,3984,0,91,1
05/05/2020,AR,3496,27,83,3
03/13/2021,WV,135149,307,2519,8
09/19/2020,KS,52285,0,596,0
03/02/2022,OK,1023358,589,13278,0
11/22/2020,HI,17039,120,231,2
04/03/2021,WV,143106,453,2693,5
03/17/2020,FL,210,61,12,3
04/30/2020,PR,839,19,83,2
01/07/2022,HI,130605,3520,1090,3
07/28/2020,HI,1840,110,26,0
10/05/2021,PW,7,0,0,0
07/07/2021,HI,36714,34,515,0
03/11/2021,PW,0,0,0,0
10/13/2021,KS,421462,1061,6151,9
07/16/2021,CO,571100,556,6876,4
03/18/2020,AS,0,0,0,0
08/13/2020,HI,4512,232,38,0
06/10/2021,TX,2964503,2475,51141,22
10/15/2021,PR,182909,104,3196,1
02/21/2021,CO,431568,937,5892,5
08/14/2020,CO,53835,405,1888,6
07/24/2020,AK,2259,57,30,0
03/10/2022,KS,768422,0,8003,0
03/13/2021,NYC,781497,4122,30249,60
08/12/2021,FL,2885828,26108,43125,325
09/29/2021,AK,108608,968,546,4
02/23/2021,AK,55623,57,322,2
11/26/2020,AR,152625,2348,2436,11
05/06/2021,CO,529529,1458,6345,8
12/28/2020,WV,81436,726,1263,9
10/03/2021,CO,686175,1782,7614,10
02/01/2022,TX,6254867,35521,78360,200
09/04/2021,GA,1440189,6475,23175,55
03/21/2020,WV,12,4,0,0
01/26/2021,MA,506183,2495,14476,93
03/31/2022,KS,770082,0,8294,0
06/13/2020,NYC,212328,383,22637,26
09/03/2021,HI,63722,862,609,7
11/23/2021,PR,187581,96,3266,2
04/26/2020,UT,4214,266,41,0
06/05/2020,WV,2119,17,84,5
06/05/2020,FL,60460,1242,2815,30
08/30/2021,TX,3561407,9880,55404,33
06/26/2021,FL,2328871,1808,37921,24
08/06/2021,WV,169162,429,2965,4
07/14/2021,AR,360258,1309,5977,7
02/27/2022,CO,1333367,514,11752,0
09/08/2020,AR,66757,477,917,9
11/03/2021,OK,647637,1501,10929,18
09/23/2021,FL,3553036,7887,57356,204
02/27/2022,WV,488359,0,6308,0
02/13/2020,KS,0,0,0,0
03/24/2020,CO,927,197,11,4
10/23/2020,AR,104135,1337,1782,10
05/06/2020,PW,0,0,0,0
01/03/2022,MA,1173704,33090,20315,42
07/08/2020,CO,35995,357,1704,8
09/01/2021,MP,243,0,2,0
10/03/2021,GA,1587257,2597,26376,67
07/31/2021,TX,3125699,12732,52085,44
09/17/2021,KS,396907,1606,5865,64
03/04/2021,AK,56823,127,326,0
03/28/2022,WV,497459,229,6743,4
05/07/2020,PR,920,13,96,5
08/12/2020,PW,0,0,0,0
12/30/2020,CO,345116,2110,4750,63
